code:U+1F468 U+1F3FB U+200D U+1F373; desc:man cook: light skin tone; tags:chef | cook | light skin tone | man
code:U+1F468 U+1F3FC U+200D U+1F373; desc:man cook: medium-light skin tone; tags:chef | cook | man | medium-light skin tone
code:U+1F468 U+1F3FD U+200D U+1F373; desc:man cook: medium skin tone; tags:chef | cook | man | medium skin tone
code:U+1F468 U+1F3FE U+200D U+1F373; desc:man cook: medium-dark skin tone; tags:chef | cook | man | medium-dark skin tone
code:U+1F468 U+1F3FF U+200D U+1F373; desc:man cook: dark skin tone; tags:chef | cook | dark skin tone | man
code:U+1F469 U+200D U+1F373; desc:woman cook; tags:chef | cook | woman
code:U+1F469 U+1F3FB U+200D U+1F373; desc:woman cook: light skin tone; tags:chef | cook | light skin tone | woman
code:U+1F469 U+1F3FC U+200D U+1F373; desc:woman cook: medium-light skin tone; tags:chef | cook | medium-light skin tone | woman
code:U+1F469 U+1F3FD U+200D U+1F373; desc:woman cook: medium skin tone; tags:chef | cook | medium skin tone | woman
code:U+1F469 U+1F3FE U+200D U+1F373; desc:woman cook: medium-dark skin tone; tags:chef | cook | medium-dark skin tone | woman
code:U+1F469 U+1F3FF U+200D U+1F373; desc:woman cook: dark skin tone; tags:chef | cook | dark skin tone | woman
code:U+1F468 U+200D U+1F527; desc:man mechanic; tags:electrician | man | mechanic | plumber | tradesperson
code:U+1F468 U+1F3FB U+200D U+1F527; desc:man mechanic: light skin tone; tags:electrician | light skin tone | man | mechanic | plumber | tradesperson
code:U+1F468 U+1F3FC U+200D U+1F527; desc:man mechanic: medium-light skin tone; tags:electrician | man | mechanic | medium-light skin tone | plumber | tradesperson
code:U+1F468 U+1F3FD U+200D U+1F527; desc:man mechanic: medium skin tone; tags:electrician | man | mechanic | medium skin tone | plumber | tradesperson
code:U+1F468 U+1F3FE U+200D U+1F527; desc:man mechanic: medium-dark skin tone; tags:electrician | man | mechanic | medium-dark skin tone | plumber | tradesperson
code:U+1F468 U+1F3FF U+200D U+1F527; desc:man mechanic: dark skin tone; tags:dark skin tone | electrician | man | mechanic | plumber | tradesperson
code:U+1F469 U+200D U+1F527; desc:woman mechanic; tags:electrician | mechanic | plumber | tradesperson | woman
code:U+1F469 U+1F3FB U+200D U+1F527; desc:woman mechanic: light skin tone; tags:electrician | light skin tone | mechanic | plumber | tradesperson | woman
code:U+1F469 U+1F3FC U+200D U+1F527; desc:woman mechanic: medium-light skin tone; tags:electrician | mechanic | medium-light skin tone | plumber | tradesperson | woman
code:U+1F469 U+1F3FD U+200D U+1F527; desc:woman mechanic: medium skin tone; tags:electrician | mechanic | medium skin tone | plumber | tradesperson | woman
code:U+1F469 U+1F3FE U+200D U+1F527; desc:woman mechanic: medium-dark skin tone; tags:electrician | mechanic | medium-dark skin tone | plumber | tradesperson | woman
code:U+1F469 U+1F3FF U+200D U+1F527; desc:woman mechanic: dark skin tone; tags:dark skin tone | electrician | mechanic | plumber | tradesperson | woman
code:U+1F468 U+200D U+1F3ED; desc:man factory worker; tags:assembly | factory | industrial | man | worker
code:U+1F468 U+1F3FB U+200D U+1F3ED; desc:man factory worker: light skin tone; tags:assembly | factory | industrial | light skin tone | man | worker
code:U+1F468 U+1F3FC U+200D U+1F3ED; desc:man factory worker: medium-light skin tone; tags:assembly | factory | industrial | man | medium-light skin tone | worker
code:U+1F468 U+1F3FD U+200D U+1F3ED; desc:man factory worker: medium skin tone; tags:assembly | factory | industrial | man | medium skin tone | worker
code:U+1F468 U+1F3FE U+200D U+1F3ED; desc:man factory worker: medium-dark skin tone; tags:assembly | factory | industrial | man | medium-dark skin tone | worker
code:U+1F468 U+1F3FF U+200D U+1F3ED; desc:man factory worker: dark skin tone; tags:assembly | dark skin tone | factory | industrial | man | worker
code:U+1F469 U+200D U+1F3ED; desc:woman factory worker; tags:assembly | factory | industrial | woman | worker
code:U+1F469 U+1F3FB U+200D U+1F3ED; desc:woman factory worker: light skin tone; tags:assembly | factory | industrial | light skin tone | woman | worker
code:U+1F469 U+1F3FC U+200D U+1F3ED; desc:woman factory worker: medium-light skin tone; tags:assembly | factory | industrial | medium-light skin tone | woman | worker
code:U+1F469 U+1F3FD U+200D U+1F3ED; desc:woman factory worker: medium skin tone; tags:assembly | factory | industrial | medium skin tone | woman | worker
code:U+1F469 U+1F3FE U+200D U+1F3ED; desc:woman factory worker: medium-dark skin tone; tags:assembly | factory | industrial | medium-dark skin tone | woman | worker
code:U+1F469 U+1F3FF U+200D U+1F3ED; desc:woman factory worker: dark skin tone; tags:assembly | dark skin tone | factory | industrial | woman | worker
code:U+1F468 U+200D U+1F4BC; desc:man office worker; tags:architect | business | man | manager | office | white-collar
code:U+1F468 U+1F3FB U+200D U+1F4BC; desc:man office worker: light skin tone; tags:architect | business | light skin tone | man | manager | office | white-collar
code:U+1F468 U+1F3FC U+200D U+1F4BC; desc:man office worker: medium-light skin tone; tags:architect | business | man | manager | medium-light skin tone | office | white-collar
code:U+1F468 U+1F3FD U+200D U+1F4BC; desc:man office worker: medium skin tone; tags:architect | business | man | manager | medium skin tone | office | white-collar
code:U+1F468 U+1F3FE U+200D U+1F4BC; desc:man office worker: medium-dark skin tone; tags:architect | business | man | manager | medium-dark skin tone | office | white-collar
code:U+1F468 U+1F3FF U+200D U+1F4BC; desc:man office worker: dark skin tone; tags:architect | business | dark skin tone | man | manager | office | white-collar
code:U+1F469 U+200D U+1F4BC; desc:woman office worker; tags:architect | business | manager | office | white-collar | woman
code:U+1F469 U+1F3FB U+200D U+1F4BC; desc:woman office worker: light skin tone; tags:architect | business | light skin tone | manager | office | white-collar | woman
code:U+1F469 U+1F3FC U+200D U+1F4BC; desc:woman office worker: medium-light skin tone; tags:architect | business | manager | medium-light skin tone | office | white-collar | woman
code:U+1F469 U+1F3FD U+200D U+1F4BC; desc:woman office worker: medium skin tone; tags:architect | business | manager | medium skin tone | office | white-collar | woman
code:U+1F469 U+1F3FE U+200D U+1F4BC; desc:woman office worker: medium-dark skin tone; tags:architect | business | manager | medium-dark skin tone | office | white-collar | woman
code:U+1F469 U+1F3FF U+200D U+1F4BC; desc:woman office worker: dark skin tone; tags:architect | business | dark skin tone | manager | office | white-collar | woman
code:U+1F468 U+200D U+1F52C; desc:man scientist; tags:biologist | chemist | engineer | man | mathematician | physicist | scientist
code:U+1F468 U+1F3FB U+200D U+1F52C; desc:man scientist: light skin tone; tags:biologist | chemist | engineer | light skin tone | man | mathematician | physicist | scientist
code:U+1F468 U+1F3FC U+200D U+1F52C; desc:man scientist: medium-light skin tone; tags:biologist | chemist | engineer | man | mathematician | medium-light skin tone | physicist | scientist
code:U+1F468 U+1F3FD U+200D U+1F52C; desc:man scientist: medium skin tone; tags:biologist | chemist | engineer | man | mathematician | medium skin tone | physicist | scientist
code:U+1F468 U+1F3FE U+200D U+1F52C; desc:man scientist: medium-dark skin tone; tags:biologist | chemist | engineer | man | mathematician | medium-dark skin tone | physicist | scientist
code:U+1F468 U+1F3FF U+200D U+1F52C; desc:man scientist: dark skin tone; tags:biologist | chemist | dark skin tone | engineer | man | mathematician | physicist | scientist
code:U+1F469 U+200D U+1F52C; desc:woman scientist; tags:biologist | chemist | engineer | mathematician | physicist | scientist | woman
code:U+1F469 U+1F3FB U+200D U+1F52C; desc:woman scientist: light skin tone; tags:biologist | chemist | engineer | light skin tone | mathematician | physicist | scientist | woman
